2018-12-31 21:35:36.897 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-12-31 21:35:37.631 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1cf3e99: startup date [Mon Dec 31 21:35:25 CST 2018]; root of context hierarchy
2018-12-31 21:35:37.930 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-31 21:35:37.930 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-31 21:35:38.073 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-31 21:35:39.151 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-12-31 21:35:39.176 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2018-12-31 21:35:39.177 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2018-12-31 21:35:39.269 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2018-12-31 21:35:39.330 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2018-12-31 21:35:40.377 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8888 (http)
2018-12-31 21:35:40.392 [main] INFO  com.course.Application - Started Application in 16.152 seconds (JVM running for 18.043)
2018-12-31 21:45:47.339 [http-nio-8888-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-12-31 21:45:47.339 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2018-12-31 21:45:47.388 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 48 ms
2018-12-31 21:45:48.887 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - 查询到的结果是1
2018-12-31 21:45:48.888 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - 登录的用户是:loginName
2018-12-31 21:45:49.112 [http-nio-8888-exec-2] INFO  com.course.controller.UserManager - 查询到的结果是0
2018-12-31 21:45:52.301 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - cookies验证通过
2018-12-31 21:45:52.359 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - 添加用户数是：1
2018-12-31 21:45:55.583 [http-nio-8888-exec-4] INFO  com.course.controller.UserManager - cookies验证通过
2018-12-31 21:45:55.696 [http-nio-8888-exec-4] INFO  com.course.controller.UserManager - getUserInfo获取到的用户数量1
2018-12-31 21:45:59.422 [http-nio-8888-exec-6] INFO  com.course.controller.UserManager - cookies验证通过
2018-12-31 21:45:59.459 [http-nio-8888-exec-6] INFO  com.course.controller.UserManager - 更新用户数据条目为：1
2018-12-31 21:47:35.946 [http-nio-8888-exec-8] INFO  com.course.controller.UserManager - 查询到的结果是1
2018-12-31 21:47:35.947 [http-nio-8888-exec-8] INFO  com.course.controller.UserManager - 登录的用户是:loginName
2018-12-31 21:47:36.040 [http-nio-8888-exec-9] INFO  com.course.controller.UserManager - 查询到的结果是0
2018-12-31 21:47:39.139 [http-nio-8888-exec-10] INFO  com.course.controller.UserManager - cookies验证通过
2018-12-31 21:47:39.241 [http-nio-8888-exec-10] INFO  com.course.controller.UserManager - 添加用户数是：1
2018-12-31 21:47:42.345 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - cookies验证通过
2018-12-31 21:47:42.352 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - getUserInfo获取到的用户数量1
2018-12-31 21:47:45.601 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - cookies验证通过
2018-12-31 21:47:45.765 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - 更新用户数据条目为：1
2018-12-31 21:47:51.846 [http-nio-8888-exec-4] INFO  com.course.controller.UserManager - cookies验证通过
2018-12-31 21:47:51.939 [http-nio-8888-exec-4] INFO  com.course.controller.UserManager - 更新用户数据条目为：1
2018-12-31 21:49:55.020 [Thread-3] INFO  o.s.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1cf3e99: startup date [Mon Dec 31 21:35:25 CST 2018]; root of context hierarchy
2018-12-31 21:49:55.038 [Thread-3] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2018-12-31 21:49:55.041 [Thread-3] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
