2019-01-01 01:10:47.198 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-01-01 01:10:47.305 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-01-01 01:10:48.214 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2019-01-01 01:10:48.450 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2019-01-01 01:10:48.451 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-01-01 01:10:48.792 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-01-01 01:10:48.826 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-01-01 01:10:49.879 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8888 (http)
2019-01-01 01:10:49.905 [main] INFO  com.course.Application - Started Application in 19.461 seconds (JVM running for 24.26)
2019-01-01 01:13:35.462 [http-nio-8888-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2019-01-01 01:13:35.463 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2019-01-01 01:13:35.500 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 37 ms
2019-01-01 01:13:36.287 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - 查询到的结果是1
2019-01-01 01:13:36.287 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - 登录的用户是:loginName
2019-01-01 01:13:36.430 [http-nio-8888-exec-2] INFO  com.course.controller.UserManager - 查询到的结果是0
2019-01-01 01:13:39.554 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - cookies验证通过
2019-01-01 01:13:39.617 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - 添加用户数是：1
